time;logid;split;acdcalls;vdn;abncalls;transferred;holdcalls;auxoutoffcalls;i_acdtime;i_acwintime;holdtime;workmode;direction;auxreason;auxoutofftime;i_stafftime;i_availtime;i_auxtime;ansringtime;abntime;holdabncalls;holdacdtime
2021/06/07 09:39:49;2119520;1041;1;2000134;0;0;1;0;127;60;103;40;0;;0;587;81;0;4;0;0;103
2021/06/07 09:39:49;2119520;1042;0;2000134;0;0;0;0;0;0;0;40;0;;0;587;81;0;0;0;0;0
2021/06/07 09:39:49;2119520;1043;0;2000134;0;0;0;0;0;0;0;40;0;;0;587;81;0;0;0;0;0
2021/06/07 09:39:49;2119520;1091;0;2000134;0;0;0;0;197;17;0;40;0;;0;587;81;0;0;0;0;0
2021/06/07 09:39:49;2119520;1164;0;2000134;0;0;0;0;0;0;0;40;0;;0;587;81;0;0;0;0;0
2021/06/07 09:38:29;2101642;6300;0;;0;0;0;0;0;0;0;50;0;6;0;507;0;507;0;0;0;0
2021/06/05 09:47:20;2106992;1041;1;2000132;0;0;1;0;915;68;121;30;2;;0;1040;0;54;3;0;0;121
2021/06/05 09:47:20;2106992;1042;0;2000132;0;0;0;0;0;0;0;30;2;;0;1040;0;54;0;0;0;0
2021/06/05 09:47:20;2106992;1043;0;2000132;0;0;0;0;0;0;0;30;2;;0;1040;0;54;0;0;0;0
2021/06/05 09:47:20;2106992;1091;0;2000132;0;0;0;0;0;0;0;30;2;;0;1040;0;54;0;0;0;0
2021/06/05 09:47:20;2106992;1164;0;2000132;0;0;0;0;0;0;0;30;2;;0;1040;0;54;0;0;0;0
2021/06/07 17:08:26;2801420;1050;0;;0;0;0;0;0;0;0;20;0;;0;503;40;59;0;0;0;0
2021/06/07 17:08:26;2801420;1095;0;;0;0;0;0;0;0;0;20;0;;0;503;40;59;0;0;0;0
2021/06/07 17:08:26;2801420;1124;0;;0;0;0;0;384;20;0;20;0;;0;503;40;59;0;0;0;0
2021/06/05 12:20:03;2124987;1082;0;2000347;0;0;0;0;609;0;0;30;2;;0;1201;0;0;0;0;0;0
2021/06/05 12:20:03;2124987;1084;0;2000347;0;0;0;0;0;0;0;30;2;;0;1201;0;0;0;0;0;0
2021/06/05 12:20:03;2124987;1131;1;2000347;0;0;1;0;514;52;33;30;2;;0;1201;0;0;3;0;0;33
2021/06/05 12:20:03;2124987;1139;0;2000347;0;0;0;0;0;0;0;30;2;;0;1201;0;0;0;0;0;0
2021/06/05 12:20:03;2124987;1140;0;2000347;0;0;0;0;0;0;0;30;2;;0;1201;0;0;0;0;0;0
2021/06/05 12:20:03;2124987;1141;0;2000347;0;0;0;0;0;0;0;30;2;;0;1201;0;0;0;0;0;0
2021/06/05 12:20:03;2124987;1142;0;2000347;0;0;0;0;0;0;0;30;2;;0;1201;0;0;0;0;0;0
2021/06/05 12:20:03;2124987;1143;0;2000347;0;0;0;0;0;0;0;30;2;;0;1201;0;0;0;0;0;0
2021/06/05 12:20:03;2124987;1144;0;2000347;0;0;0;0;0;0;0;30;2;;0;1201;0;0;0;0;0;0
2021/06/05 12:20:03;2124987;6250;0;2000347;0;0;0;0;0;0;0;30;2;;0;1201;0;0;0;0;0;0
2021/06/06 10:52:15;2127929;1041;0;;0;0;0;0;0;0;0;50;1;8;0;1334;0;1130;0;0;0;0
2021/06/06 10:52:15;2127929;1042;0;;0;0;0;0;0;0;0;50;1;8;0;1334;0;1130;0;0;0;0
2021/06/06 10:52:15;2127929;1043;0;;0;0;0;0;0;0;0;50;1;8;0;1334;0;1130;0;0;0;0
2021/06/06 10:52:15;2127929;1091;1;;0;0;1;1;201;0;36;50;1;8;56;1334;0;1130;3;0;1;36
